USER_ID,PLAN,COUNTRY,LOST_MRR,DAYS_TO_CHURN,CHURN_STAGE,CHURNED_AT,CHURN_MONTH,CHURN_YEAR,CHURN_MONTH_NUM,TOTAL_SESSIONS,BOUNCE_RATE_PCT,LAST_FEATURE_USED,TICKETS_BEFORE_CHURN,NPS_CATEGORY
user_12152,free,US,0,14,immediate,2023-01-15 00:00:00.000,2023-01-01 00:00:00.000,2023,1,11,18.18,upload_file,,
user_4513,free,DE,0,14,immediate,2023-01-15 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,0.00,filter_tasks,,
user_17577,free,BR,0,14,immediate,2023-01-15 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,40.00,search,,
user_7668,free,AU,0,14,immediate,2023-01-15 00:00:00.000,2023-01-01 00:00:00.000,2023,1,19,42.11,search,,detractor
user_29703,free,UK,0,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,9,0.00,comment_task,,
user_32624,free,US,0,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,70,28.57,filter_tasks,,
user_24215,free,US,0,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,44,25.00,comment_task,1,
user_39341,enterprise,CA,299,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,162,25.31,view_analytics,8,
user_36853,free,US,0,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,9,22.22,filter_tasks,,
user_13249,pro,UK,49,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,95,21.05,search,,
user_10088,free,FR,0,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,10,20.00,create_project,,
user_2816,pro,US,49,15,immediate,2023-01-16 00:00:00.000,2023-01-01 00:00:00.000,2023,1,166,24.10,filter_tasks,1,
user_14702,free,CA,0,16,immediate,2023-01-17 00:00:00.000,2023-01-01 00:00:00.000,2023,1,4,0.00,view_dashboard,,
user_32148,free,UK,0,16,immediate,2023-01-17 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,20.00,view_dashboard,,
user_6909,free,US,0,16,immediate,2023-01-17 00:00:00.000,2023-01-01 00:00:00.000,2023,1,35,37.14,filter_tasks,,detractor
user_36691,free,CA,0,16,immediate,2023-01-17 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,16.67,search,,
user_16373,free,DE,0,17,immediate,2023-01-18 00:00:00.000,2023-01-01 00:00:00.000,2023,1,10,40.00,search,,
user_9617,free,IN,0,17,immediate,2023-01-18 00:00:00.000,2023-01-01 00:00:00.000,2023,1,18,22.22,search,,
user_16778,free,IN,0,17,immediate,2023-01-18 00:00:00.000,2023-01-01 00:00:00.000,2023,1,51,29.41,filter_tasks,,
user_31836,free,IN,0,17,immediate,2023-01-18 00:00:00.000,2023-01-01 00:00:00.000,2023,1,27,11.11,filter_tasks,,
user_2182,free,DE,0,17,immediate,2023-01-18 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,0.00,export_report,,
user_14439,free,CA,0,18,immediate,2023-01-19 00:00:00.000,2023-01-01 00:00:00.000,2023,1,17,11.76,view_dashboard,,
user_30816,free,IN,0,18,immediate,2023-01-19 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,16.67,view_dashboard,,promoter
user_8153,free,IN,0,18,immediate,2023-01-19 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,20.00,view_dashboard,,
user_6878,free,UK,0,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,0.00,search,,
user_12605,free,AU,0,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,30,30.00,create_project,,
user_16145,free,UK,0,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,11,18.18,filter_tasks,,
user_7018,free,CA,0,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,20.00,create_project,,
user_25052,pro,DE,49,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,98,29.59,create_project,,
user_29598,free,FR,0,19,immediate,2023-01-20 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,0.00,view_dashboard,,
user_4772,free,US,0,20,immediate,2023-01-21 00:00:00.000,2023-01-01 00:00:00.000,2023,1,9,44.44,search,,
user_2584,free,US,0,20,immediate,2023-01-21 00:00:00.000,2023-01-01 00:00:00.000,2023,1,10,0.00,view_dashboard,,
user_15599,free,US,0,21,immediate,2023-01-22 00:00:00.000,2023-01-01 00:00:00.000,2023,1,22,18.18,view_dashboard,,
user_6239,pro,UK,49,21,immediate,2023-01-22 00:00:00.000,2023-01-01 00:00:00.000,2023,1,258,24.42,view_dashboard,,
user_13498,free,BR,0,21,immediate,2023-01-22 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,20.00,search,,
user_33132,free,BR,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,16,25.00,filter_tasks,,promoter
user_23134,free,IN,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,0.00,comment_task,,
user_27075,free,BR,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,7,28.57,filter_tasks,,
user_38499,pro,US,49,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,186,22.58,search,1,
user_7729,free,IN,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,66,18.18,search,,
user_9295,free,FR,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,79,27.85,comment_task,,
user_5437,pro,AU,49,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,45,17.78,comment_task,,
user_7857,free,AU,0,22,immediate,2023-01-23 00:00:00.000,2023-01-01 00:00:00.000,2023,1,9,22.22,filter_tasks,,
user_37520,free,US,0,23,immediate,2023-01-24 00:00:00.000,2023-01-01 00:00:00.000,2023,1,18,38.89,comment_task,,
user_10100,free,IN,0,23,immediate,2023-01-24 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,33.33,create_project,,
user_8744,free,IN,0,23,immediate,2023-01-24 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,0.00,create_project,,passive
user_14712,free,NL,0,23,immediate,2023-01-24 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,60.00,view_dashboard,,
user_24785,free,NL,0,24,immediate,2023-01-25 00:00:00.000,2023-01-01 00:00:00.000,2023,1,7,14.29,upload_file,,
user_6110,free,FR,0,24,immediate,2023-01-25 00:00:00.000,2023-01-01 00:00:00.000,2023,1,74,35.14,filter_tasks,,
user_22873,free,FR,0,24,immediate,2023-01-25 00:00:00.000,2023-01-01 00:00:00.000,2023,1,18,11.11,comment_task,2,detractor
user_12596,enterprise,CA,299,20,immediate,2023-01-26 00:00:00.000,2023-01-01 00:00:00.000,2023,1,167,23.35,view_analytics,1,promoter
user_9955,free,DE,0,25,immediate,2023-01-26 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,33.33,upload_file,,
user_26258,free,IN,0,25,immediate,2023-01-26 00:00:00.000,2023-01-01 00:00:00.000,2023,1,7,0.00,search,,
user_2455,free,US,0,26,immediate,2023-01-27 00:00:00.000,2023-01-01 00:00:00.000,2023,1,14,28.57,search,,
user_36190,free,US,0,15,immediate,2023-01-28 00:00:00.000,2023-01-01 00:00:00.000,2023,1,34,20.59,create_project,,
user_29437,free,BR,0,15,immediate,2023-01-28 00:00:00.000,2023-01-01 00:00:00.000,2023,1,17,29.41,upload_file,,
user_16034,free,IN,0,27,immediate,2023-01-28 00:00:00.000,2023-01-01 00:00:00.000,2023,1,10,20.00,search,,
user_33482,free,CA,0,28,immediate,2023-01-29 00:00:00.000,2023-01-01 00:00:00.000,2023,1,5,60.00,set_deadline,,
user_38539,free,DE,0,28,immediate,2023-01-29 00:00:00.000,2023-01-01 00:00:00.000,2023,1,6,33.33,create_project,,
user_15657,free,SG,0,28,immediate,2023-01-29 00:00:00.000,2023-01-01 00:00:00.000,2023,1,9,22.22,upload_file,,
user_37700,free,SG,0,28,immediate,2023-01-29 00:00:00.000,2023-01-01 00:00:00.000,2023,1,149,23.49,comment_task,,
