FEATURE_NAME,PLAN,PLATFORM,EVENT_MONTH,EVENT_YEAR,EVENT_MONTH_NUM,EVENTS,UNIQUE_USERS,AVG_DURATION_SEC
comment_task,enterprise,api,2023-01-01 00:00:00.000,2023,1,165,117,2.66
comment_task,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,312,193,3.95
comment_task,enterprise,web,2023-01-01 00:00:00.000,2023,1,1026,557,3.98
comment_task,free,api,2023-01-01 00:00:00.000,2023,1,132,85,3.38
comment_task,free,mobile,2023-01-01 00:00:00.000,2023,1,215,159,3.14
comment_task,free,web,2023-01-01 00:00:00.000,2023,1,846,489,4.03
comment_task,pro,api,2023-01-01 00:00:00.000,2023,1,227,143,4.69
comment_task,pro,mobile,2023-01-01 00:00:00.000,2023,1,503,293,3.44
comment_task,pro,web,2023-01-01 00:00:00.000,2023,1,1651,834,3.78
create_project,enterprise,api,2023-01-01 00:00:00.000,2023,1,121,88,3.38
create_project,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,263,182,3.94
create_project,enterprise,web,2023-01-01 00:00:00.000,2023,1,945,526,3.99
create_project,free,api,2023-01-01 00:00:00.000,2023,1,90,60,3.67
create_project,free,mobile,2023-01-01 00:00:00.000,2023,1,204,133,3.76
create_project,free,web,2023-01-01 00:00:00.000,2023,1,656,420,3.91
create_project,pro,api,2023-01-01 00:00:00.000,2023,1,187,122,3.85
create_project,pro,mobile,2023-01-01 00:00:00.000,2023,1,469,287,4.19
create_project,pro,web,2023-01-01 00:00:00.000,2023,1,1369,747,3.64
export_report,enterprise,api,2023-01-01 00:00:00.000,2023,1,120,92,3.20
export_report,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,211,153,4.06
export_report,enterprise,web,2023-01-01 00:00:00.000,2023,1,824,471,4.01
export_report,free,api,2023-01-01 00:00:00.000,2023,1,7,6,3.04
export_report,free,mobile,2023-01-01 00:00:00.000,2023,1,21,21,2.46
export_report,free,web,2023-01-01 00:00:00.000,2023,1,76,70,3.96
export_report,pro,api,2023-01-01 00:00:00.000,2023,1,88,67,3.59
export_report,pro,mobile,2023-01-01 00:00:00.000,2023,1,183,135,3.27
export_report,pro,web,2023-01-01 00:00:00.000,2023,1,555,394,3.27
filter_tasks,enterprise,api,2023-01-01 00:00:00.000,2023,1,156,109,3.33
filter_tasks,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,303,201,3.51
